SKU,Encontrado,Stock,Stock China,Stock Futuro
6HSSMM19226-CBUWHBK,SI,0,0,6
MSPCA524201-BK1,SI,0,0,6
MSPCA524201-PK1,SI,0,0,3
NBACA523110-BLK,SI,2,0,0
NBACA523110-BLK1,SI,0,0,0
NBACA523151-BLK3,SI,7,0,0
NBACA523151-BLK,SI,6,0,0
NBACA523151-BLK1,SI,5,0,0
NBACA523109-BLK2,SI,0,0,0
NBACA523135-PUR,SI,0,0,0
NBACA523149-BLK1,SI,0,0,0
NBACA523148-BLK1,SI,0,0,0
NBACA523147-BLK3,SI,0,0,0
NBACA523132-BLK2,SI,3,0,0
NBACA523135-BUR,SI,0,0,0
NBACA523134-BLK5,SI,2,0,0
NBACA523134-BLK2,SI,0,0,0
NBACA523134-BLK3,SI,0,0,0
NBACA523134-BLK4,SI,0,0,0
NBACA523134-BLK1,SI,0,0,0
NBACA523132-PUR,SI,0,0,0
NBATS523125-BLK1,SI,0,0,0
NBATS523125-BLK2,SI,0,0,0
NBACA523131-BLK2,SI,2,0,0
NBACA523130-RED,SI,1,0,0
NBACA523130-BUR,SI,2,0,0
NBACA523130-GRY,SI,0,0,0
NBACA523130-PUR,SI,0,0,0
NBACA523130-BLK4,SI,0,0,0
NBACA523130-BLU,SI,0,0,0
NBATS523116-WHT,SI,0,0,0
PSGPT523101-GRY,SI,0,0,0
NBATS523124-BLK2,SI,0,0,0
NBATS523122-YEL,SI,0,0,0
NBATS523122-RED,SI,0,0,0
NBATS523122-BLK1,SI,0,0,0
NBATS523122-BLK,SI,0,0,0
NBACA523170-GRY2,SI,0,0,0
NBACA523170-GRY3,SI,0,0,0
NBACA523170-GRY,SI,0,0,0
NBACA523170-GRY1,SI,0,0,0
NBACA523169-PUR,SI,0,0,0
NBACA523169-RED,SI,1,0,0
NBACA523169-GRN,SI,0,0,0
NBACA523169-GRY,SI,0,0,0
NBACA523169-NVY,SI,1,0,0
NBACA523156-BUR,SI,0,0,0
NBAHD521001-GRN,SI,0,0,0
CAASL324106-NV1,SI,0,0,0
PUMST324101-NV1,SI,0,0,0
PUMTS324101-BK1,SI,0,0,0
CAASO524103-NV1,SI,0,0,0
CAASO524101-BK1,SI,0,0,0
NBASW523101-GRY,SI,0,0,0
BCNHD724102-NV3,SI,0,0,0
RMDHD724102-NV2,SI,0,0,0
RMDWR724102-BL1,SI,11,0,0
NBACA523169-BLU,SI,0,0,0
NBASW523101-BLK1,SI,0,0,0
NBACA523156-PUR,SI,0,0,0
NBACA523156-RED,SI,0,0,0
NBAJP523108-BLK4,SI,0,0,0
NBAJP523106-BLK2,SI,0,0,0
NBAJP523105-NVY,SI,0,0,0
NBAJP523105-BLK2,SI,0,0,0
NBAJP523105-BLK,SI,0,0,0
NBAJP523105-BLK1,SI,0,0,0
PSGHD52202-BLK,SI,0,0,0
NBAHD523109-BLK2,SI,0,0,0
NBAHD523107-NVY,SI,0,0,0
NBAHD523107-BLK2,SI,0,0,0
NBAHD523106-BLU,SI,0,0,0
NBAHD523104-PUR,SI,0,4,0
NBAHD523104-RED,SI,0,0,0
NBAJP523101-PUR,SI,0,0,0
NBAHD523104-RED1,SI,0,6,0
PSGPT323104-BLK,SI,0,0,0
PSGCA523109-NVY,SI,0,0,0
MLBPT523102-BLK2,SI,0,0,0
MLBPT523102-NVY1,SI,0,0,0
MLBJK523102-NVY1,SI,0,0,0
MLBHD523103-BLK1,SI,0,0,0
MLBWR523101-NVY,SI,4,0,0
BCTS323109-BLK,SI,0,0,5
NBAHD523105-GRY2,SI,0,0,0
NBAHD523105-BLK,SI,0,0,0
MSPCA724201-BK1,SI,0,0,8
MSPCA724202-PK1,SI,0,0,5
6HSSMM19227-CBUBLCK,SI,1,0,10
HHSS2976-MHEYYPPPBLCK,SI,0,2,0
HHSS5132-CBUYYPPPRED1,SI,0,0,2
HHSS5133-MHEYYPPPBLCK,SI,0,2,0
HHSS5341-CBUYYPPPRED1,SI,0,0,6
NBATS523106-BLKCOP2,NO,0,0,0
HHSS5341-LALYYPPPPURP,SI,0,0,3
NBATS52115-BLKCOP2,NO,0,0,0
GUAJS323201-BK1,NO,0,0,0
6HSSMM19224-CBUWHOR,SI,0,0,2
6HSSMM19228-CBUGYHT,SI,0,0,2
HHSS3256-BCEYYPPPGREN,SI,0,2,2
6HSSMM19224-CBUWHIT,SI,0,0,0
MSPCA524202-BK1,SI,0,0,7
MSPCA524202-PK1,SI,0,0,4
