SKU,Encontrado,Stock,Stock Futuro
ACSO522201-BLK,NO,0,32
ACBX522201-GRY,SI,14,21
NFLJS322201-NVY,SI,4,24
NFLJS322201-RED1,SI,4,24
NFLTS322205-RED1,SI,0,2
NFLTS322205-BUR,SI,0,2
NFLTS322205-BLK3,SI,0,2
MLBTS322202-NVY,SI,0,16
NBASH322203-RED,SI,21,0
NBASH322203-BLK,SI,23,19
NBATS322204-BLK2,SI,23,19
NBATS322204-WHT,SI,26,16
NBATS322204-BLK,SI,21,3
NBATS322204-RED,SI,21,0
PSGTS32203-NVY,SI,43,0
PSGTS32203-WHT,SI,39,0
PSGTS32202-NVY,SI,21,0
PSGTS32201-NVY,SI,23,0
PSGTS32201-WHT,SI,22,0
PSGJS32201-BLK,SI,0,23
PSGJS32201-WHT,SI,0,7
PSGJS32201-BLU,SI,0,17
NBATS322202-WHT1,SI,0,10
NBATS322202-RED,SI,20,0
NBATS322228-RED,SI,24,18
NBATS322228-YEL,SI,24,11
NBATS322223-BLU,SI,0,3
NBATS322223-WHT,SI,26,0
NBATS322223-GRN,SI,0,18
NBATS322223-YEL,SI,24,7
NBATS322223-RED,SI,24,0
NBATS322223-BLK,SI,24,6
NBASH322222-BLK,SI,12,22
NBATS322222-BLK2,SI,0,25
NBATS322222-BLU,SI,0,22
NBATS322222-PUR,SI,0,2
NBATT322220-BLK2,SI,0,7
NBATT322220-BLK1,SI,33,0
NBATS322202-BLK2,SI,5,0
UMJS523102-GRY,NO,5,0
UMSH523101-NVY,NO,5,0
NBATT322220-BLK,SI,43,0
NBATT322220-YEL,SI,60,0
NBATT322202-YEL,SI,0,24
UMSH523103-BLK,NO,0,24
UMSH523103-TUR,NO,0,24
UMJS523104-BLK,NO,0,24
UMJS523104-TUR,NO,0,24
UMJS523101-BLK,NO,0,24
UMJS523101-NVY,NO,0,24
UMJK523101-BLK,NO,0,24
UMJS523102-BLK,NO,0,24
UMJS523102-NVY,NO,0,24
MLBPT522208-BLK1,SI,0,16
MLBPT522208-BLK,SI,0,17
MLBPT522208-BLU,SI,0,16
MLBHD522206-WHT,SI,0,13
MLBPT522206-NVY1,SI,0,12
MLBPT522206-BLK,SI,0,16
MLBPT522206-BLU,SI,0,12
MLBPT522206-NVY,SI,0,7
MLBHD522205-BLK,SI,0,13
MLBSH522205-BLU,SI,0,20
FIJS322201-BLU,SI,0,7
TGTS522204-GRY,SI,4,0
NBASH322204-BLK2,SI,0,20
NBASH322204-BLK1,SI,0,14
NBASH322204-BLK,SI,0,7
NBATS322215-BLK3,SI,0,12
NBATS322215-BLK1,SI,0,7
NBATS322215-BLK,SI,0,7
SOUTS522204-BLK,SI,18,0
FDTS522204-BLK,SI,14,0
FDHD522201-BLK,SI,18,0
FDTS522203-WHT,SI,6,0
FDTS522201-BLK,SI,5,0
FDTS522201-BLU,SI,8,0
JVPT522202-BLK,SI,14,14
NFLTS522206-RED1,SI,24,18
NFLTS522206-RED,SI,27,13
NFLTS522206-BLK,SI,29,0
NFLTS522206-AQA,SI,19,0
MLBPT522209-BLK,SI,0,18
MLBSH622201-AQA,SI,1,11
MLBPT622202-GRY,SI,12,0
MLBPT622202-NVY,SI,16,0
MLBPT622201-NVY,SI,0,23
MLBPT622201-BLK,SI,0,17
MLBPT622201-GRY,SI,0,17
MLBSBR622201-BLK,SI,9,25
MLBCT622201-WHT,SI,0,18
ROCTS522201-GRY,SI,24,0
NASCT622203-BLK,SI,41,0
NASCT622202-WHT,SI,38,0
NASCT622202-BLK,SI,32,0
BUDTS622202-GRY,SI,9,0
LCPTS622201-PNK,SI,42,0
LCPTS622201-LBL,SI,42,0
LCPTS622201-BLK,SI,42,0
DFLTS522203-BLK,SI,41,0
MLBHD622212-BLU,SI,0,25
MLBTT622211-RED,SI,0,26
MLBTT622211-WHT,SI,0,6
MLBTS622211-GRY,SI,0,18
MLBTS622211-PNK,SI,0,4
MLBCT622211-BLK,SI,0,21
MLBCT622211-WHT1,SI,0,15
MLBCT622211-GRY,SI,0,10
MLBTS622210-LHB1,SI,0,20
MLBTS622210-NVY,SI,0,19
MLBTS622210-LHB,SI,0,19
MLBPT622210-NVY,SI,12,26
MLBSBR622210-NVY,SI,17,22
MLBSH622201-LHB,SI,1,11
PSGTS52217-WHT2,SI,25,0
PSGTS52217-BLU2,SI,25,0
NASTS522209-BLK,SI,17,0
NASTS522208-GRY,SI,10,0
NASTS522208-BGE,SI,10,0
NASTS522207-NVY,SI,5,0
NASTS522205-BLK,SI,10,0
NASTS522204-NVY,SI,6,0
NASTS522204-BLK,SI,6,0
NASHD522201-NVY,SI,25,0
NASHD522201-BLK,SI,17,0
NASTS522202-GRY,SI,19,0
NASTS522202-BLK,SI,41,0
NASTS522201-BLK,SI,14,0
LCPTS522206-BLK,SI,15,0
LCPTS522204-GRY,SI,42,0
LCPTS522204-RED,SI,43,0
LCPTS522202-WHT,SI,42,0
LCPTS522201-GRY,SI,43,0
LCPTS522201-WHT,SI,42,0
LCPTS522201-BLK,SI,42,0
PFLTS622202-BLK,SI,30,0
PFLCT622204-BLK,SI,4,0
PFLCT622202-BLK,SI,8,0
PSGTS52215-BLU4,SI,10,0
PSGTS52212-BLK,SI,20,0
PSGTS52211-BLU1,SI,22,0
PSGTS52211-WHT1,SI,22,0
PSGTS52211-BLK2,SI,16,0
PSGTS52211-BLK1,SI,42,0
PSGTS52211-BLK,SI,26,0
PSGSH52201-BLK,SI,25,0
PSGTT52202-BLK,SI,30,0
PSGHD52203-BLK,SI,21,0
PSGJP52204-BLK,SI,34,0
PSGJP52204-NVY,SI,21,0
PSGSW52205-NVY,SI,11,17
PSGTS52209-NVY,SI,24,0
PSGTS52209-BLK,SI,33,0
PSGJP52202-NVY,SI,6,0
PSGJP52201-BLK,SI,18,18
PSGJP52201-BLU,SI,25,0
PSGTT52201-BLU,SI,27,7
PSGTT52201-WHT,SI,25,2
PFLCT622201-BLK,SI,14,0
PFLTS522204-BLK,SI,5,0
PFLTS522203-GRY,SI,8,0
PFLTS522203-BLK,SI,32,0
PFLTS522202-GRY,SI,20,0
PSGJS52207-GRY,SI,12,2
PSGJS52205-BLU,NO,12,2
PSGJS52203-GRY,SI,45,0
PSGJS52202-NVY,SI,28,1
LLTS522202-LBL,SI,41,0
MUNJS32202-RED,NO,41,0
LLTS522202-BLK,SI,13,0
NBATS622202-YLW,SI,24,0
NBATS622202-NVY,SI,6,0
NBATS622202-LIL,SI,25,0
NBATS622202-LHB,SI,0,15
NBACT622201-RED,SI,24,0
NBACT622201-PUR,SI,27,7
NBACT622201-BLK1,SI,0,27
